ViewID	SpeciesID	SubspeciesID	Family	Mnemonic	Genus	SpeciesName	Rank	Subspecies	Authority	IDLevel	subspMnemonic	subspAuthority	FieldFamily	Lifeform	Description	wsg	wsglevel	ListOfOldNames	Specimens	Reference
84	139	NULL	Phyllanthaceae	MARNOB	Margaritaria	nobilis	NULL	NULL	L.f.	species	NULL	NULL	Euphorbiaceae	NULL	NULL	0.59636	species	NULL	NULL	NULL
85	140	NULL	Sapindaceae	MATDOM	Matayba	domingensis	NULL	NULL	(DC.) Radlk	species	NULL	NULL	Sapindaceae	NULL	NULL	0.697	species	NULL	NULL	NULL
86	141	NULL	Celastraceae	MAYELO	Maytenus	elongata	NULL	NULL	Britton	species	NULL	NULL	Celastraceae	NULL	NULL	0.710898	species	NULL	NULL	NULL
87	142	NULL	Sabiaceae	MELHER	Meliosma	herbertii	NULL	NULL	Rolfe	species	NULL	NULL	Sabiaceae	NULL	NULL	0.435	species	NULL	NULL	NULL
88	143	NULL	Melastomataceae	MICAFF	Miconia	affinis	NULL	NULL	DC.	species	NULL	NULL	Melastomataceae	NULL	NULL	0.618877	genus	NULL	NULL	NULL
89	144	NULL	Melastomataceae	MICIMP	Miconia	impetiolaris	NULL	NULL	(Sw.) D. Don ex DC.	species	NULL	NULL	Melastomataceae	NULL	NULL	0.747025	species	NULL	NULL	NULL
90	145	NULL	Melastomataceae	MICMIR	Miconia	mirabilis	NULL	NULL	(Aubl.) L.O. Williams	species	NULL	NULL	Melastomataceae	NULL	NULL	0.603167	species	NULL	NULL	NULL
91	146	NULL	Melastomataceae	MICPRA	Miconia	prasina	NULL	NULL	(Sw.) DC.	species	NULL	NULL	Melastomataceae	NULL	NULL	0.688234	species	NULL	NULL	NULL
92	147	NULL	Melastomataceae	MICRAC	Miconia	racemosa	NULL	NULL	(Aubl.) DC.	species	NULL	NULL	Melastomataceae	NULL	NULL	0.449723	species	NULL	NULL	NULL
93	148	NULL	Melastomataceae	MICTET	Miconia	tetrandra	NULL	NULL	(Sw.) D. Don	species	NULL	NULL	Melastomataceae	NULL	NULL	0.703	species	NULL	NULL	NULL
94	149	NULL	Fabaceae-mimosoideae	MIMPUD	Mimosa	pudica	NULL	NULL	L.	species	NULL	NULL	Mimosoideae	NULL	NULL	0.8235	genus	NULL	NULL	NULL
95	150	NULL	Sapotaceae	MIRCHR	Micropholis	guyanensis	NULL	NULL	(A.DC.) Pierre	species	NULL	NULL	Sapotaceae	NULL	NULL	0.657273	species	NULL	NULL	NULL
